t,th1,w1,th2,w2,x1,y1,x2,y2
22.93,-1.243974324793161,2.269187540956213,-12.926649892886463,-6.237994570927102,-0.9470673725362033,-0.32103487641901507,-1.2996029679564298,-1.2568332809708216
22.94,-1.2197232813208032,2.583648596186231,-12.990082991365265,-6.454157915071947,-0.939004227168315,-0.34390559948921384,-1.350151593006692,-1.2554744907772852
22.95,-1.1922479443255285,2.9140542853890166,-13.055845992195206,-6.70410013627358,-0.9292020916054334,-0.369572013220817,-1.3993650236593944,-1.25215165116995
22.96,-1.1613930129080574,3.2590496016805313,-13.124274573177773,-6.9866920412257185,-0.917358504189838,-0.398062023798532,-1.446767654953967,-1.2464286609827175
22.97,-1.1270366961275682,3.6128232623213563,-13.195666156022115,-7.294769832858045,-0.9031438976725321,-0.4293379788661456,-1.4917192877621408,-1.2377803145839537
22.98,-1.0891509435675948,3.9618360801690695,-13.270197794806391,-7.610578152608261,-0.8862339187377836,-0.4632379963676034,-1.533374069871571,-1.2256090509011153
22.990000000000002,-1.0478961751733655,4.281540532110738,-13.347795553757555,-7.9010979397729395,-0.866374504401542,-0.4993948519187823,-1.5706662179807656,-1.2093055379798112
23.0,-1.0037352808741624,4.536642810059012,-13.427975224452718,-8.118143110507605,-0.8434832907534727,-0.5371554134695959,-1.6023717853100297,-1.1883760003905581
23.01,-0.9575042441961753,4.690239315188794,-13.5097399433356,-8.210665887849306,-0.8177576526654154,-0.5755626998921576,-1.6272983553453608,-1.1626264534185191
23.02,-0.9103428661604509,4.721540756091473,-13.591668369815649,-8.149046999346819,-0.7897141259285221,-0.6134750193031093,-1.6445828420375783,-1.132319387315381
23.03,-0.8634571961065477,4.6388708148331235,-13.672234554576914,-7.94309268911093,-0.7600936337364483,-0.6498135639961065,-1.6539455167005468,-1.0981759300813252
23.04,-0.81783958178653,4.474271864533508,-13.750187772024972,-7.634809315820022,-0.7296702414747255,-0.6837991947247495,-1.655723564398254,-1.0611918855685056
23.05,-0.7741168971971215,4.2658208175059755,-13.824758065205005,-7.274288098292146,-0.6990848953670316,-0.7150386766250246,-1.6506808545073108,-1.0223904792029368
23.06,-0.7325663170320282,4.043961862407304,-13.89563353595866,-6.901134961522925,-0.6687797906702753,-0.7434605514692912,-1.6397521292542585,-0.9826523525510806
23.07,-0.6932176163793458,3.827752632249896,-13.962820789548083,-6.539499561915293,-0.6390154567009134,-0.7691938936947712,-1.6238556254298695,-0.9426581322510832
23.080000000000002,-0.655959017447443,3.626995936737794,-14.026501973783532,-6.201105100209518,-0.6099195098862796,-0.7924633691597868,-1.6038023891057638,-0.9029025940501684
23.09,-0.6206126980605596,3.4456237815245823,-14.086934054791747,-5.889911746877074,-0.5815337131980534,-0.81352230480429,-1.5802723070420632,-0.8637340680325409
23.1,-0.5869793629754556,3.284353784709524,-14.144390453598536,-5.605729936605456,-0.553848518363169,-0.8326174503977938,-1.5538224289105953,-0.8253940007725983
23.11,-0.5548613579896857,3.1423457070285807,-14.199131693281018,-5.34644310237102,-0.5268254632337244,-0.8499734885798331,-1.5249062621837999,-0.7880483824662461
23.12,-0.5240731713843294,3.0181201195361873,-14.251392841809466,-5.109218403217181,-0.5004107825239014,-0.8657881084502239,-1.4938940945296653,-0.7518104406110463
23.13,-0.49444519478468846,2.910029319664292,-14.301379742461773,-4.891111031826219,-0.47454336695700283,-0.8802321244291822,-1.4610907158774329,-0.7167563514899754
23.14,-0.46582414162929325,2.816480629198528,-14.349269459134714,-4.689338175882676,-0.4491592846371347,-0.8934516982043614,-1.4267497472644666,-0.6829359330463115
23.150000000000002,-0.43807195311491737,2.7360300658008714,-14.395212516312464,-4.501383601362009,-0.4241942708347789,-0.9055712123245473,-1.3910848475700748,-0.6503798868048762
23.16,-0.41106413080033044,2.667411067881108,-14.439335722301236,-4.3250200699022985,-0.3995850386279488,-0.916696131171448,-1.3542783628381336,-0.6191047053734138
23.17,-0.3846879564340635,2.6095323240245976,-14.481745005897961,-4.158294882173259,-0.37526991698003953,-0.9269155783618022,-1.3164879829144187,-0.5891160041188104
23.18,-0.3588408109729674,2.5614621163711897,-14.522528024979438,-3.9995013210542383,-0.35118911551081144,-0.9363045472210065,-1.2778518794384963,-0.5604107830403489
23.19,-0.33342867934119697,2.522407802253209,-14.561756468116052,-3.8471470427527676,-0.32728479318120907,-0.944925745311415,-1.238492695944812,-0.5329789551295319
23.2,-0.30836486653386813,2.4916945036075653,-14.599488047517424,-3.6999244905252944,-0.3035010368346358,-0.9528311081405251,-1.1985206707534486,-0.5068043657810176
23.21,-0.2835689229104304,2.468744750749819,-14.635768215726129,-3.556685430144489,-0.2797838140566039,-0.9600630278226215,-1.158036101954443,-0.48186545484445265
23.22,-0.2589657655315252,2.453059669843678,-14.670631651388586,-3.4164202700877326,-0.2560809407530307,-0.9666553428099608,-1.1171313095744368,-0.45813566536126993
23.23,-0.2344849796139387,2.4442017517626,-14.704103562323068,-3.2782421708772045,-0.23234208994270117,-0.9726341312338662,-1.0758922095957648,-0.43558367212103555
23.240000000000002,-0.21006028517471909,2.44177900245958,-14.736200852551162,-3.1413756713603367,-0.20851886023183552,-0.9780183459054417,-1.0343995845608693,-0.4141734832155787
23.25,-0.1856291564008761,2.445430200961982,-14.766933196643299,-3.0051494593260712,-0.1845649177144871,-0.9828203249572348,-0.9927301133047075,-0.39386445510226775
23.26,-0.1611325840080641,2.4548110040826887,-14.796304060816384,-2.868992882409183,-0.1604362220262503,-0.987046208980078,-0.9509572058349673,-0.37461125393742367
23.27,-0.1365149731828548,2.469580698710229,-14.824311706091583,-2.7324357764155094,-0.13609134492471198,-0.9906962934404181,-0.9091516769953919,-0.3563637915309147
23.28,-0.11172417125493785,2.489389494480783,-14.850950204435696,-2.5951111526264685,-0.11149188734825731,-0.9937653440604193,-0.8673822832089201,-0.33906716211272936
23.29,-0.08671161976922105,2.5138663622951056,-14.876210493920764,-2.456760219120765,-0.08660299787453214,-0.9962429024887173,-0.8257161395410356,-0.3226616053791025
23.3,-0.06143262494648642,2.5426075512631674,-14.900081493207903,-2.3172391094560627,-0.06139399144989745,-0.9981136096726915,-0.7842190290219783,-0.30708252132794855
23.31,-0.03584673852484474,2.57516605146813,-14.922551288752073,-2.1765265592279355,-0.035839061909312,-0.9993575744654465,-0.742955612273849,-0.2922605625918584
23.32,-0.009918237628578002,2.611042402834612,-14.943608399779833,-2.034731619261427,-0.009918075017495394,-0.9999508146843761,-0.7019895427769297,-0.2781218297348229
23.330000000000002,0.016383312297732478,2.649677367689292,-14.963243116216665,-1.892100344168535,0.016382579392114724,-0.9998657965409463,-0.6613834914424984,-0.2645881937096006
23.34,0.04308243308413753,2.69044706855207,-14.981448893491004,-1.7490202753841815,0.043069106798697535,-0.9990720955164158,-0.6211990834437688,-0.2515777668208743
23.35,0.07019707577309206,2.7326612228721263,-14.998223775990342,-1.6060214831352524,0.07013943911258362,-0.9975371968407856,-0.5814967504260529,-0.23900553864610863
23.36,0.09773796288179298,2.775565062826172,-15.013571808722455,-1.4637729780454083,0.09758242679733116,-0.9952274463560294,-0.5423355021945299,-0.2267841861508484
23.37,0.12570797026806724,2.8183453958873317,-15.027504385611186,-1.3230734806753923,0.12537714853013937,-0.9921091525766967,-0.5037726236593655,-0.21482505769639226
23.38,0.1541015913813987,2.860141035868182,-15.040041474241407,-1.1848358626734894,0.15349239903300446,-0.9881498284365043,-0.4658633050573616,-0.20303931913814643
23.39,0.18290452749178443,2.9000575247463827,-15.05121265223295,-1.0500650404840643,0.18188641528995775,-0.98331954721391,-0.4286602160654852,-0.19133923752147775
23.400000000000002,0.21209344489602475,2.937185700426741,-15.06105789104216,-0.9198296781932574,0.21050689538839448,-0.9775923726144449,-0.39221303713307243,-0.17963956514941792
